outcome,intervention_class,method,k_studies,pooled_log_rr,pooled_rr,ci_low_rr,ci_high_rr,tau2,q,direction
HF_HOSPITALIZATION,ARNI,DL,1,-0.13353139262452263,0.875,0.6051680612990534,1.2651444267506613,0.0,0.0,uncertain
HF_HOSPITALIZATION,ARNI,FE,1,-0.13353139262452263,0.875,0.6051680612990534,1.2651444267506613,0.0,0.0,uncertain
HF_HOSPITALIZATION,ARNI,PM,1,-0.13353139262452263,0.875,0.6051680612990534,1.2651444267506613,0.0,0.0,uncertain
HF_HOSPITALIZATION,MRA,DL,1,-0.12783337150988505,0.8799999999999999,0.5375703099388713,1.4405557481179698,0.0,0.0,uncertain
HF_HOSPITALIZATION,MRA,FE,1,-0.12783337150988505,0.8799999999999999,0.5375703099388713,1.4405557481179698,0.0,0.0,uncertain
HF_HOSPITALIZATION,MRA,PM,1,-0.12783337150988505,0.8799999999999999,0.5375703099388713,1.4405557481179698,0.0,0.0,uncertain
HF_HOSPITALIZATION,SGLT2 inhibitors,DL,1,-0.4054651081081643,0.6666666666666667,0.4070900121658477,1.0917596383164976,0.0,0.0,uncertain
HF_HOSPITALIZATION,SGLT2 inhibitors,FE,1,-0.4054651081081643,0.6666666666666667,0.4070900121658477,1.0917596383164976,0.0,0.0,uncertain
HF_HOSPITALIZATION,SGLT2 inhibitors,PM,1,-0.4054651081081643,0.6666666666666667,0.4070900121658477,1.0917596383164976,0.0,0.0,uncertain
SAE,ARNI,DL,1,0.13353139262452277,1.142857142857143,0.5866707802423063,2.2263294729629086,0.0,0.0,uncertain
SAE,ARNI,FE,1,0.13353139262452277,1.142857142857143,0.5866707802423063,2.2263294729629086,0.0,0.0,uncertain
SAE,ARNI,PM,1,0.13353139262452277,1.142857142857143,0.5866707802423063,2.2263294729629086,0.0,0.0,uncertain
SAE,MRA,DL,1,0.1823215567939548,1.2000000000000002,0.645658298651167,2.230281873567301,0.0,0.0,uncertain
SAE,MRA,FE,1,0.1823215567939548,1.2000000000000002,0.645658298651167,2.230281873567301,0.0,0.0,uncertain
SAE,MRA,PM,1,0.1823215567939548,1.2000000000000002,0.645658298651167,2.230281873567301,0.0,0.0,uncertain
SAE,SGLT2 inhibitors,DL,1,-0.1823215567939546,0.8333333333333334,0.3774013284222466,1.840068892570197,0.0,0.0,uncertain
SAE,SGLT2 inhibitors,FE,1,-0.1823215567939546,0.8333333333333334,0.3774013284222466,1.840068892570197,0.0,0.0,uncertain
SAE,SGLT2 inhibitors,PM,1,-0.1823215567939546,0.8333333333333334,0.3774013284222466,1.840068892570197,0.0,0.0,uncertain
