term,beta,se,ci_low,ci_high,outcome,intervention_class
intercept,0.12558931985708544,0.261096807547882,-0.38616042293676334,0.6373390626509342,SAE,Other
cer,0.28291724993261524,1.5318572807476025,-2.7195230203326854,3.285357520197916,SAE,Other
ef_mixed,-0.011215085666463447,0.31149844737843746,-0.6217520425282008,0.5993218711952739,SAE,Other
ef_unknown,-0.8805791333151486,0.5258704732862026,-1.9112852609561055,0.15012699432580845,SAE,Other
year_centered,-0.05300158009583064,0.06110269042853267,-0.17276285333575467,0.06675969314409338,SAE,Other
intercept,0.013949095551372942,0.16866757750614653,-0.3166393563606742,0.34453754746342014,SAE,SGLT2 inhibitors
cer,-1.9368292364005306,1.8861297200624192,-5.633643487722872,1.7599850149218108,SAE,SGLT2 inhibitors
ef_mixed,0.01394909555132498,0.16866757750611985,-0.31663935636067,0.3445375474633199,SAE,SGLT2 inhibitors
ef_unknown,0.0,0.0,0.0,0.0,SAE,SGLT2 inhibitors
year_centered,0.061069087455145166,0.13613662751229977,-0.20575870246896238,0.3278968773792527,SAE,SGLT2 inhibitors
intercept,2.3907227063391012,3.1556809865840583,-3.794412027365653,8.575857440043855,SAE,sGC stimulators
cer,-146.48948752912838,193.6019636270451,-525.9493362381368,232.97036117988,SAE,sGC stimulators
ef_mixed,2.390722701943748,3.155680987641971,-3.794412033834515,8.57585743772201,SAE,sGC stimulators
ef_unknown,0.0,0.0,0.0,0.0,SAE,sGC stimulators
year_centered,-1.6727403599580732,2.3278460516721604,-6.235318621235508,2.8898379013193614,SAE,sGC stimulators
