intervention_label,mu,var,k,pooled_mu,pooled_se,tau2_drug,outcome,intervention_class
finerenone,-0.171132506935433,0.001036228224173649,1,-0.171132506935433,0.03219049897366689,0.0,HF_HOSPITALIZATION,MRA
anakinra,-0.916290731874155,1.825,1,-0.0427688953447403,0.31736254605455105,0.10660219955956585,HF_HOSPITALIZATION,Other
macitentan,0.32542240043462795,0.10430961839412543,1,0.16856268283152553,0.22961211745339846,0.10660219955956585,HF_HOSPITALIZATION,Other
oral treprostinil,-0.03461004924771746,0.007241160189185383,1,-0.031883534275959496,0.08234425568905758,0.10660219955956585,HF_HOSPITALIZATION,Other
semaglutide 2.4 mg,0.5503387773366216,0.03767641537303334,1,0.40878101223264873,0.16684641856246615,0.10660219955956585,HF_HOSPITALIZATION,Other
tirzepatide - mtd,-0.4336247718612098,0.04016287224734091,1,-0.3127024236784903,0.17079852233774465,0.10660219955956585,HF_HOSPITALIZATION,Other
dapa 10 mg,-0.17481499634356099,0.002953797682864243,1,-0.17481499634356099,0.054348851716151676,0.0,HF_HOSPITALIZATION,SGLT2 inhibitors
empagliflozin,-0.25331843696762124,0.2533002506255599,1,-0.25331843696762124,0.5032894302740322,0.0,HF_HOSPITALIZATION,SGLT2 inhibitors
bay1021189 1.25 mg; bay1021189 2.5 mg; bay1021189 2.5 mg to 10 mg; bay1021189 2.5 mg to 5 mg,-0.0962872194521516,0.14497647849462367,1,-0.0962872194521516,0.38075776879089895,0.0,HF_HOSPITALIZATION,sGC stimulators
