intervention_class,outcome,eligible_completed_trials,eligible_completed_participants,eligible_enrollment_coverage,contributing_trials,contributing_participants,ecr_trials,ecr_participants,ecr_participants_raw,ecr_participants_rule,reporting_debt_rate,endpoint_alignment_rate,heterogeneity_i2,k_studies,penalty_ecr_participants,penalty_reporting_debt,penalty_heterogeneity,penalty_endpoint_mismatch,penalty_sparse,trust_score
ARB/ACEi,HF_HOSPITALIZATION,8,9507.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.25,0.0,,0,30,10,15,10,10,25
ARNI,HF_HOSPITALIZATION,9,9130.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.14285714285714285,0.0,,0,30,0,15,10,10,35
Beta blockers,HF_HOSPITALIZATION,2,106.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.0,0.0,,0,30,0,15,10,10,35
MRA,HF_HOSPITALIZATION,1,6016.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.0,0.0,,0,30,0,15,10,10,35
Neprilysin inhibitors,HF_HOSPITALIZATION,0,0.0,0.0,0,0.0,0.0,0.0,,trial_fraction_no_enrollment,0.0,0.0,,0,30,0,15,10,10,35
Other,HF_HOSPITALIZATION,125,13803.0,1.0,1,28.0,0.008,0.0020285445193073967,0.0020285445193073967,participant_fraction,0.5961538461538461,1.0,0.0,1,30,20,0,0,10,40
SGLT2 inhibitors,HF_HOSPITALIZATION,14,13997.0,1.0,1,5988.0,0.07142857142857142,0.42780595841966135,0.42780595841966135,participant_fraction,0.2,1.0,0.0,1,30,10,0,0,10,50
Unknown,HF_HOSPITALIZATION,0,0.0,0.0,0,0.0,0.0,0.0,,trial_fraction_no_enrollment,0.0,0.0,,0,30,0,15,10,10,35
sGC stimulators,HF_HOSPITALIZATION,3,1384.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.3333333333333333,0.0,,0,30,20,15,10,10,15
ARB/ACEi,SAE,8,9507.0,1.0,1,235.0,0.125,0.024718628379089093,0.024718628379089093,participant_fraction,0.25,1.0,0.0,1,30,10,0,0,10,50
ARNI,SAE,9,9130.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.14285714285714285,0.0,,0,30,0,15,10,10,35
Beta blockers,SAE,2,106.0,1.0,0,0.0,0.0,0.0,0.0,participant_fraction,0.0,0.0,,0,30,0,15,10,10,35
MRA,SAE,1,6016.0,1.0,1,5986.0,1.0,0.9950132978723404,0.9950132978723404,participant_fraction,0.0,1.0,0.0,1,5,0,0,0,10,85
Neprilysin inhibitors,SAE,0,0.0,0.0,0,0.0,0.0,0.0,,trial_fraction_no_enrollment,0.0,0.0,,0,30,0,15,10,10,35
Other,SAE,125,13803.0,1.0,24,5233.0,0.192,0.37912048105484314,0.37912048105484314,participant_fraction,0.5961538461538461,0.16666666666666666,21.24588289889892,24,30,20,0,10,0,40
SGLT2 inhibitors,SAE,14,13997.0,1.0,7,13514.0,0.5,0.9654926055583339,0.9654926055583339,participant_fraction,0.2,0.2857142857142857,37.38148390763857,7,5,10,0,10,0,75
Unknown,SAE,0,0.0,0.0,0,0.0,0.0,0.0,,trial_fraction_no_enrollment,0.0,0.0,,0,30,0,15,10,10,35
sGC stimulators,SAE,3,1384.0,1.0,3,1444.0,1.0,1.0,1.0433526011560694,participant_fraction,0.3333333333333333,0.3333333333333333,0.0,3,5,20,0,10,0,65
