intervention_class,baseline_risk_per_1000,rr_hfhosp,rr_hfhosp_ci_low,rr_hfhosp_ci_high,arr_hfhosp_per_1000,arr_hfhosp_ci_low,arr_hfhosp_ci_high,rr_sae,rr_sae_ci_low,rr_sae_ci_high,ari_sae_per_1000,ari_sae_ci_low,ari_sae_ci_high,net_benefit_per_1000
ARB/ACEi,50,,,,,,,0.8122362869198313,0.19925181422599772,3.3110252388519297,-9.388185654008439,-40.03740928870012,115.55126194259648,
ARB/ACEi,100,,,,,,,0.8122362869198313,0.19925181422599772,3.3110252388519297,-18.776371308016877,-80.07481857740024,231.10252388519297,
ARB/ACEi,200,,,,,,,0.8122362869198313,0.19925181422599772,3.3110252388519297,-37.552742616033754,-160.14963715480047,462.20504777038593,
MRA,50,,,,,,,0.953833470733718,0.8959431560704028,1.0154643000815993,-2.3083264633140956,-5.202842196479864,0.7732150040799652,
MRA,100,,,,,,,0.953833470733718,0.8959431560704028,1.0154643000815993,-4.616652926628191,-10.405684392959728,1.5464300081599305,
MRA,200,,,,,,,0.953833470733718,0.8959431560704028,1.0154643000815993,-9.233305853256383,-20.811368785919456,3.092860016319861,
Other,50,0.4,0.0283223247541003,5.649253773803874,30.0,-232.46268869019372,48.58388376229499,1.011955618538825,0.9694027628855695,1.0563763722356727,0.5977809269412475,-1.5298618557215278,2.818818611783634,29.402219073058752
Other,100,0.4,0.0283223247541003,5.649253773803874,60.0,-464.92537738038743,97.16776752458998,1.011955618538825,0.9694027628855695,1.0563763722356727,1.195561853882495,-3.0597237114430555,5.637637223567268,58.804438146117505
Other,200,0.4,0.0283223247541003,5.649253773803874,120.0,-929.8507547607749,194.33553504917995,1.011955618538825,0.9694027628855695,1.0563763722356727,2.39112370776499,-6.119447422886111,11.275274447134535,117.60887629223501
SGLT2 inhibitors,50,,,,,,,0.9840563237575861,0.8819308128584681,1.098007728280493,-0.7971838121206929,-5.903459357076599,4.900386414024652,
SGLT2 inhibitors,100,,,,,,,0.9840563237575861,0.8819308128584681,1.098007728280493,-1.5943676242413858,-11.806918714153198,9.800772828049304,
SGLT2 inhibitors,200,,,,,,,0.9840563237575861,0.8819308128584681,1.098007728280493,-3.1887352484827716,-23.613837428306397,19.601545656098608,
sGC stimulators,50,,,,,,,1.03382674974074,0.8116922492663428,1.3167524384340836,1.6913374870370035,-9.415387536682864,15.837621921704184,
sGC stimulators,100,,,,,,,1.03382674974074,0.8116922492663428,1.3167524384340836,3.382674974074007,-18.83077507336573,31.675243843408367,
sGC stimulators,200,,,,,,,1.03382674974074,0.8116922492663428,1.3167524384340836,6.765349948148014,-37.66155014673146,63.350487686816734,
